72,28.96,1.56,0.60,0.13,29.21,3.55,337753728,-843977408,31765
73,29.26,1.63,0.60,0.13,9999,9999,-1.00,-1.00,32266
74,29.55,1.69,0.60,0.13,9999,9999,-1.00,-1.00,32773
75,30.18,2.33,0.58,0.16,30.28,4.15,337753824,-843977344,33014
76,30.36,2.67,0.58,0.18,30.64,4.15,337753856,-843977344,33267
77,30.65,2.76,0.58,0.18,9999,9999,-1.00,-1.00,33768
78,30.94,2.86,0.58,0.18,9999,9999,-1.00,-1.00,34275
79,31.61,3.40,0.57,0.20,31.70,4.74,337753952,-843977280,34514
80,31.90,3.71,0.57,0.22,32.06,4.74,337753984,-843977280,35014
81,32.19,3.81,0.57,0.22,9999,9999,-1.00,-1.00,35515
82,32.61,4.20,0.56,0.23,32.77,5.33,337754048,-843977216,35764
83,32.91,4.56,0.56,0.25,33.13,5.92,337754080,-843977152,36263
84,33.23,4.85,0.56,0.26,33.48,5.92,337754112,-843977152,36763
85,33.44,5.03,0.57,0.26,33.84,5.92,337754144,-843977152,37013
86,33.73,5.17,0.57,0.26,9999,9999,-1.00,-1.00,37514
87,34.21,5.51,0.58,0.27,34.55,6.51,337754208,-843977088,37767
88,34.50,5.65,0.58,0.27,9999,9999,-1.00,-1.00,38268
89,34.79,5.78,0.58,0.27,9999,9999,-1.00,-1.00,38776
90,35.61,6.26,0.59,0.28,35.98,7.11,337754336,-843977024,39015
91,35.98,6.49,0.59,0.29,36.33,7.11,337754368,-843977024,39513
92,36.24,6.62,0.61,0.29,36.69,7.11,337754400,-843977024,39762
93,36.54,6.77,0.61,0.29,9999,9999,-1.00,-1.00,40263
94,37.07,7.07,0.61,0.29,37.40,7.70,337754464,-843976960,40513
95,37.32,7.20,0.63,0.30,37.76,7.70,337754496,-843976960,40763
96,37.64,7.35,0.63,0.30,9999,9999,-1.00,-1.00,41264
97,38.27,7.57,0.65,0.30,38.83,7.70,337754592,-843976960,41512
98,38.59,7.72,0.65,0.30,9999,9999,-1.00,-1.00,42013
99,39.49,8.02,0.68,0.29,40.25,8.29,337754720,-843976896,42512
100,39.83,8.17,0.68,0.29,9999,9999,-1.00,-1.00,43013
101,40.49,8.44,0.70,0.29,40.97,8.88,337754784,-843976832,43262
102,40.81,8.55,0.71,0.29,41.32,8.88,337754816,-843976832,43514
103,41.12,8.64,0.73,0.29,41.68,8.88,337754848,-843976832,43762
104,41.64,8.85,0.75,0.30,42.39,9.48,337754912,-843976768,44262
